concept,name,concept_type,domain,indicator_url,color,scales,drill_up,unit,interpolation,description,aggregation_method,base_period,development_relevance,general_comments,indicator_name,license_type,limitations_and_exceptions,long_definition,notes_from_original_source,other_notes,other_web_links,periodicity,related_indicators,related_source_links,series_code,short_definition,source,statistical_concept_and_methodology,topic,unit_of_measure
geographic_regions,Geographic regions,entity_set,geo,http://spreadsheets.google.com/pub?key=phT4mwjvEuGBtdf1ZeO7_PQ,"{'palette': {'sub_saharan_africa': '#4e7af0', 'east_asia_pacific': '#f03838', 'middle_east_north_africa': '#5be56b', 'america': '#ebcc21', 'europe_central_asia': '#f49d37', 'south_asia': '#35d1d1'}, 'selectable': False}",['ordinal'],,,,,,,,,,,,,,,,,,,,,,,,
income_groups,Income groups,entity_set,geo,http://spreadsheets.google.com/pub?key=phT4mwjvEuGCSmAe5aq7HKw,"{'palette': {'lower_middle_income': '#7ea1d1', 'upper_middle_income': '#a7cb7d', 'high_income': '#7bc135', 'low_income': '#4366f4'}}",['ordinal'],,,,,,,,,,,,,,,,,,,,,,,,
landlocked,Landlocked,entity_set,geo,http://spreadsheets.google.com/pub?key=rBwKBodk7Y08pGiA4OAfzUA,"{'palette': {'landlocked': '#f05656', 'coastline': '#7487ef'}}",['ordinal'],,,,,,,,,,,,,,,,,,,,,,,,
g77_and_oecd_countries,G77 and OECD countries,entity_set,geo,http://spreadsheets.google.com/pub?key=tVI_UCwI1enCk4p61fWxUig,"{'palette': {'others': '#f05656', 'oecd': '#71c44c', 'g77': '#7487ef'}}",['ordinal'],,,,,,,,,,,,,,,,,,,,,,,,
geographic_regions_in_4_colors,Geographic regions in 4 colors,entity_set,geo,http://spreadsheets.google.com/spreadsheet/pub?key=0ArfEDsV3bBwCdHlocWJBM1Uyd1ZPeHduU3c4WGplMEE,"{'palette': {'asia': ['#ff5872', '#ff5178', '#ff658a', '#da0025', '#fa4e73', '#b2043a'], 'africa': ['#00d5e9', '#00c8ec', '#00e1ec', '#0098df', '#77dff7', '#0586c6'], '_default': ['#ffb600', '#ffaa14', '#ffc500', '#fb6d19', '#ffb600', '#9b4838'], 'america': ['#7feb00', '#5de200', '#81f201', '#00b900', '#b5ea32', '#008d36'], 'europe': ['#ffe700', '#fbdd00', '#fff400', '#fbaf09', '#ffe700', '#b17f4a']}, 'selectable': False}",['ordinal'],,,,,,,,,,,,,,,,,,,,,,,,
main_religion_2008,Main religion 2008,entity_set,geo,http://spreadsheets.google.com/spreadsheet/pub?key=0ArtujvvFrPjVdHUzTGVicFJZQ1NjaFhqelV5SDNxMVE,"{'palette': {'christian': '#7487ef', 'muslim': '#71c44c', 'eastern_religions': '#f05656'}, 'selectable': False}",['ordinal'],,,,,,,,,,,,,,,,,,,,,,,,
name,Name,string,,https://github.com/open-numbers/ddf--gapminder--dim_geo_countries_and_groups/blob/master/ddf--list--geo--country.csv,,['ordinal'],,,,,,,,,,,,,,,,,,,,,,,,
geo,Geographic location,entity_domain,,https://github.com/open-numbers/ddf--gapminder--dim_geo_countries_and_groups/blob/master/ddf--list--geo--country.csv,,['ordinal'],,,,,,,,,,,,,,,,,,,,,,,,
country,Country,entity_set,geo,https://github.com/open-numbers/ddf--gapminder--dim_geo_countries_and_groups/blob/master/ddf--list--geo--country.csv,,['ordinal'],"['geographic_regions', 'income_groups', 'landlocked', 'g77_and_oecd_countries', 'geographic_regions_in_4_colors', 'main_religion_2008']",,,,,,,,,,,,,,,,,,,,,,,
name_short,Name Short,string,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name_long,Name Long,string,,,,,,,,,,,,,,,,,,,,,,,,,,,,
